National Communication Categories,SG Source Sector,CCP mapping,IPCC,SourceName,Pollutant,EmissionYear,Emissions (MtCO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,BaseYear,0.066808653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,1990,0.066808653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,1995,0.082423904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,1998,0.056926948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,1999,0.06646459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2000,0.052402031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2001,0.074793108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2002,0.071500165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2003,0.071976688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2004,0.070806033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
